pid,ocr,jpg,chunk count,ignore count,ignore percentage,dictionary count,dictionary percentage (of total),dictionary percentage (of non-ignored)
hale:77602,https://hale.archives.caltech.edu/islandora/object/hale:77602/datastream/OCR/view,https://hale.archives.caltech.edu/islandora/object/hale:77602/datastream/JPG/view,2,1,50,-1,-50,-100
hale:84882,https://hale.archives.caltech.edu/islandora/object/hale:84882/datastream/OCR/view,https://hale.archives.caltech.edu/islandora/object/hale:84882/datastream/JPG/view,3,2,66.66666667,-1,-33.33333333,-100
hale:65046,https://hale.archives.caltech.edu/islandora/object/hale:65046/datastream/OCR/view,https://hale.archives.caltech.edu/islandora/object/hale:65046/datastream/JPG/view,5,4,80,-1,-20,-100
hale:111502,https://hale.archives.caltech.edu/islandora/object/hale:111502/datastream/OCR/view,https://hale.archives.caltech.edu/islandora/object/hale:111502/datastream/JPG/view,7,6,85.71428571,-1,-14.28571429,-100
hale:100574,https://hale.archives.caltech.edu/islandora/object/hale:100574/datastream/OCR/view,https://hale.archives.caltech.edu/islandora/object/hale:100574/datastream/JPG/view,9,3,33.33333333,-1,-11.11111111,-16.66666667
hale:125039,https://hale.archives.caltech.edu/islandora/object/hale:125039/datastream/OCR/view,https://hale.archives.caltech.edu/islandora/object/hale:125039/datastream/JPG/view,10,7,70,-1,-10,-33.33333333
hale:14357,https://hale.archives.caltech.edu/islandora/object/hale:14357/datastream/OCR/view,https://hale.archives.caltech.edu/islandora/object/hale:14357/datastream/JPG/view,13,9,69.23076923,-1,-7.692307692,-25
hale:32479,https://hale.archives.caltech.edu/islandora/object/hale:32479/datastream/OCR/view,https://hale.archives.caltech.edu/islandora/object/hale:32479/datastream/JPG/view,13,1,7.692307692,-1,-7.692307692,-8.333333333
hale:121752,https://hale.archives.caltech.edu/islandora/object/hale:121752/datastream/OCR/view,https://hale.archives.caltech.edu/islandora/object/hale:121752/datastream/JPG/view,16,14,87.5,-1,-6.25,-50
hale:51407,https://hale.archives.caltech.edu/islandora/object/hale:51407/datastream/OCR/view,https://hale.archives.caltech.edu/islandora/object/hale:51407/datastream/JPG/view,17,16,94.11764706,-1,-5.882352941,-100
hale:33421,https://hale.archives.caltech.edu/islandora/object/hale:33421/datastream/OCR/view,https://hale.archives.caltech.edu/islandora/object/hale:33421/datastream/JPG/view,36,34,94.44444444,-1,-2.777777778,-50
hale:111980,https://hale.archives.caltech.edu/islandora/object/hale:111980/datastream/OCR/view,https://hale.archives.caltech.edu/islandora/object/hale:111980/datastream/JPG/view,15,9,60,0,0,0
hale:113353,https://hale.archives.caltech.edu/islandora/object/hale:113353/datastream/OCR/view,https://hale.archives.caltech.edu/islandora/object/hale:113353/datastream/JPG/view,23,14,60.86956522,0,0,0
hale:13594,https://hale.archives.caltech.edu/islandora/object/hale:13594/datastream/OCR/view,https://hale.archives.caltech.edu/islandora/object/hale:13594/datastream/JPG/view,14,8,57.14285714,0,0,0
hale:13687,https://hale.archives.caltech.edu/islandora/object/hale:13687/datastream/OCR/view,https://hale.archives.caltech.edu/islandora/object/hale:13687/datastream/JPG/view,7,2,28.57142857,0,0,0
hale:14004,https://hale.archives.caltech.edu/islandora/object/hale:14004/datastream/OCR/view,https://hale.archives.caltech.edu/islandora/object/hale:14004/datastream/JPG/view,7,2,28.57142857,0,0,0
hale:15949,https://hale.archives.caltech.edu/islandora/object/hale:15949/datastream/OCR/view,https://hale.archives.caltech.edu/islandora/object/hale:15949/datastream/JPG/view,11,3,27.27272727,0,0,0
hale:32890,https://hale.archives.caltech.edu/islandora/object/hale:32890/datastream/OCR/view,https://hale.archives.caltech.edu/islandora/object/hale:32890/datastream/JPG/view,15,9,60,0,0,0
hale:62331,https://hale.archives.caltech.edu/islandora/object/hale:62331/datastream/OCR/view,https://hale.archives.caltech.edu/islandora/object/hale:62331/datastream/JPG/view,3,1,33.33333333,0,0,0
hale:86364,https://hale.archives.caltech.edu/islandora/object/hale:86364/datastream/OCR/view,https://hale.archives.caltech.edu/islandora/object/hale:86364/datastream/JPG/view,19,16,84.21052632,0,0,0
